comment,cleaned_comment
"Mas gibran memang  pantas buat memimpin indonesia emas... indonesia maju..  dari cara bicaranya singkat ,padat  dan tegas.. tanpa melihat teks.. menjawab pertanyaan dan cara bicara nya lancar..",gibran memang pantas buat pimpin indonesia emas indonesia maju dari cara bicara singkat padat dan tegas tanpa lihat teks jawab tanya dan cara bicara nya lancar
Keren bett gibran debatnya. Salut sma generasi mudaa,bett gibran debat sma generasi mudaa
Ketua Komisi Pemilihan Umum kira2 berpihak kemana ya??? 😁😁,kira pihak mana
"Paslon no 2 paling muda tp keliatan paling berisi , apakah cuma saya saja yg merasa",paling muda liat paling isi apakah cuma saya saja rasa
Probowo n Gibran are the best for 2024,are the best for
"Duarrrr kena skak ngga konsisten ...
Seru debatnya 🎉",kena skak ngga konsisten debat
Siap bayar pajak..bakalan naik klu no 2 menang.rakyat bakal menangis.,bayar pajakbakalan naik klu menangrakyat bakal menang
Wahh bagus sekali uang buat makan siang..,bagus sekali uang buat makan siang
Kelemahan Anis adalah SALAH PILIH WAKIL.,adalah salah pilih wakil
PAK MAHMUD PULAU REMPANG KAPAN DIJUAL.!!,pak mahmud pulau rempang kapan jual
"Emng the beast mas Gibran
2024 ALL IN PROBOWO❤",the beast mas all probowo
Lucu masyarakat ini ya plin plan wkwkwk,masyarakat ini plin plan wkwkwk
"di waktu 1:59:50 lanjut. selesai kata KUR memang nyata ada suara cewe bilang UDAH itu suara siapa yah?

cuman penasaran🙏🙏🙏",waktu lanjut selesai kata kur memang nyata ada suara cewe bilang udah itu suara siapa yah cuman penasaran
Cak Imin seperti Orang yg Kebingungan Menjawab & Saat di Tanggapi Jawabannya...,seperti
"Korupsi yg selama ini menjadi akar dari sebuah masalah di negeri ini. Berantas korupsi !!tegas berwibawa berpengalaman .
Karena guru sejati itu adalah pengalaman !! 
Ganjar mahfud yes !!!
Yang setuju kita all in ganjar mahfud.
Terimakasih",lama ini jadi akar dari buah masalah negeri ini korupsi tegas wibawa alam guru sejati itu adalah alam mahfud yes tuju kita all ganjar mahfud
Sesi akhir kek lg baca (text) cerpen motivasi 😅😂,akhir kek baca text cerpen motivasi
"Yang di butuhkan sedikit bicara banyak bekerja. Bukan banyak bicara seikit bekerja, kaya mantan gub dki 😂😂😂. 02 si yess",butuh sedikit bicara banyak kerja banyak bicara seikit kerja kaya mantan gub dki yess
"mau pintar + cerdas + pengalaman
percuma, Baru calon saja ""Kode Etik"" dilanggar
apalagi klo sudah menjabat😆🤲😆🤲no 2 tdk masuk dlm pertimbangan saya karna sudah gugur, saya lebih fokus menyimak 1&3",mau pintar cerdas alam percuma calon saja langgar apalagi klo sudah menjabatno tdk masuk dlm timbang saya karna sudah gugur saya lebih fokus simak
Cak Imin delusional ya kayanya,delusional kaya
gua takud gibran kaek bapaknya satu pun gk ada yg  ditepati janjinya,gua takud gibran kaek bapak satu pun ada tepat janji
"26:00 laah,tempat yg mengusung anda itu salah 1 penyumbang koruptor pak 😅",laahtempat usung anda itu salah sumbang koruptor pak
"Aku baca komen dari atas panjang bnget komenan nya  mndukung nor2 alhdulilah semoga terlaksana, pak prabowo dan mas gibran aaamin🤲",baca komen dari atas panjang bnget komenan nya mndukung nor alhdulilah moga laksana pak prabowo dan mas gibran aaamin
"Lu pada brani gak ngomong kek gibran di depan senior lu, klo gua blom ngomong udah gemeteran. 😂",pada brani gak ngomong kek gibran depan senior klo gua blom ngomong udah gemeteran
Mahfud md is the besst,the besst
cawapres-cawapres ini kadang pada grogi dan belum stabil fsikologisnya terlihat kadang tidak begitu menangka pertanyaan dengan baik,cawaprescawapres ini kadang pada grogi dan belum stabil fsikologisnya lihat kadang tidak begitu nangka tanya dengan baik
udh lah pemilihan dua kader saja nomor urut no 2 ke laut saja ngk layak,udh lah pilih dua kader saja nomor urut laut saja ngk layak
Betul sekali yg dibilang mas gibran dmn suatu negara mempunyai satu kesempatan apbl pemilih 50% lebih itu pemuda...dan yg dipilih bener2 tepat sdh banyak terbukti di negara2 lain...pasti akan mjd negara maju bukan lagi sbg negara berkembang...mari para pemuda kita dukung no 2 insyaAllah akan bisa membawa indonesia mjd negara maju/emas..spt prof mahfud tetep dilibatkan mjd menkopolhukam utk membasmi para mafia di negeri ini...salam 2 jari,sekali bilang mas gibran dmn suatu negara punya satu sempat apbl pilih lebih itu pemudadan pilih bener tepat sdh banyak bukti negara lainpasti akan mjd negara maju bukan lagi sbg negara berkembangmari para pemuda kita dukung insyaallah akan bisa bawa indonesia mjd negara majuemasspt prof mahfud tetep libat mjd menkopolhukam utk basmi para mafia negeri inisalam jari
Insya alloh 2024 prabowo gibran,alloh prabowo gibran
"Pk Machfud kami dan puluhan juta rakyat indonesia siap mencoblos dan memenangkan pasangan bpk,, GAMA TOPPPP,,,,,",kami dan puluh juta rakyat indonesia siap coblos dan menang pasang bpk gama topppp
"Gass terus...Gibran....
Keluarkan semua yg kamu punya....tunjukan pada mereka....gasss",terus semua kamu punyatunjukan pada merekagasss
"Sentil balik dong Cak Imin, dulu katanya gak mau maju politik, trus mau.. Dulu katanya belum mau maju cawapres, sekarang di sini.. 😂😂😂",balik dong dulu kata gak mau maju politik trus mau kata belum mau maju cawapres sekarang sini
"gw anti gibran, gk ridho nying",anti gibran ridho nying
"Sentil balik dong Cak Imin, dulu katanya gak mau maju politik, trus mau.. Dulu katanya belum mau maju cawapres, sekarang di sini.. 😂😂😂",balik dong dulu kata gak mau maju politik trus mau kata belum mau maju cawapres sekarang sini
"Bapak uhaimin yang terhormat ada apa di internal PKB , pasti anda mengerti pertanyaan saya, bagaimana mungkin anda bisa menstabilisasi dalam negri dengan record  partai dan kredibilitas anda saat ini ? maaf pak sory karena bapak calon public figur toh ?",uhaimin yang hormat ada apa internal pkb pasti anda erti tanya saya bagaimana mungkin anda bisa stabilisasi dalam negri dengan record partai dan kredibilitas anda saat ini maaf pak sory karena bapak calon public figur toh
TETAP NO 2,tetap
"Jujur sbnrny mas gibran bukan cawapres yg sbnrny sy harapkan, tetapi harus saya akui mas gibran mewakili peran pemuda dalam elit tinggi. Sy bgtu ingat hanya karena “ muda” terkadang suara kita tdk bgtu di perhitungkan hny krn pengalaman “senior” merasa lebih bnyk. Baik dlm dunia pkerjaan maupun sosial. Kdg org tua merasa “lebih”…. Padahal inovasi2 yg ada kdg datang dr generasi muda yg lbih adaptif dlm menanggapi teknologi2 baru, yg lbih cepat merespon informasi dari media.",sbnrny mas gibran bukan cawapres sbnrny harap tetapi harus saya aku mas gibran wakil peran pemuda dalam elit tinggi bgtu ingat hanya karena muda terkadang suara kita tdk bgtu hitung hny krn alam senior rasa lebih bnyk dlm dunia pkerjaan maupun sosial org tua rasa lebih inovasi ada kdg datang generasi muda lbih adaptif dlm tanggap teknologi baru lbih cepat merespon informasi dari media
Pilihan yang masuk kriteria saya cuma 02 dan 03,yang masuk kriteria saya cuma dan
All in prabowo gibran,prabowo gibran
"Bagaimana ibu/bpk,jangan panggil aku anak ingusan.bagaimana skrg dgn penampilan pertama gua😅",ibubpkjangan panggil aku anak ingusanbagaimana skrg dgn tampil pertama gua
Gibran. Tampil luar biasa..mantab cerdas dan  simpel jelas. Tanpa.tex   sangat tenang dan luwes. Mengalir sejuk penuhi rasa  dg percaya diri dan  meyakinkan. Menjawab keraguan publik.. tentang kemampuan berargumen dalam menjawab perdebatan  yg di gulirkan dlm tema..   ❤.  Sdh.waktunya anak anak muda berkwalitas tampil di depan.  Salam damai sejahtera untuk kita semua.. NKRI harga mati,luar biasamantab cerdas dan simpel jelas tex sangat tenang dan luwes sejuk penuh rasa percaya diri dan yakin ragu publik tentang mampu argumen dalam jawab debat gulir dlm tema waktu anak anak muda berkwalitas tampil depan damai sejahtera untuk kita semua nkri harga mati
muhaimin ini dalam penampilan kali ini kelihatan nya kepewdean dan menganggap enteng masalah saya tidak suka,muhaimin ini dalam tampil kali ini lihat nya kepewdean dan anggap enteng masalah saya tidak suka
Kelihatan oebih jelas lg sekrg saya bakal milih siapa,oebih jelas sekrg saya bakal milih siapa
"Ekspresi bapak prof. Mahfud MD ketika mendengarkan statement/gagasan dari mas Gibran, beliau salut dan respect. Keliatan dari ekspresi wajah pak Mahfud dan cara menghormati mas Gibran ketika awal membuka topik pembicaraan dengan kata-kata ""Terhormat"".",bapak prof ketika dengar statementgagasan dari mas beliau salut dan respect dari ekspresi wajah pak dan cara hormat mas ketika awal buka topik bicara dengan katakata
Kok gemesh bgt si sama cawapres no.3 .. jawaban nya ambigu semua .. jadi gini ya .. hal baru ? . Titipan partai ?? Sebenernya mau gosip apa gimana si,gemesh bgt sama cawapres jawab nya ambigu semua jadi gin hal baru partai mau gosip apa gimana
baru juga mulai udah ngejanjiin bansos dan dana 5 milyar tiap desa... haduh,baru juga mulai udah ngejanjiin bansos dan dana milyar tiap desa haduh
"Cak imin ,...cak..suaramu datar..tanpa wibawa...",imin caksuaramu datartanpa wibawa
invetasi yang di dominasi oleh BUMN khanya akan menabah rasio beban dan  salah penggunaan,invetasi yang dominasi oleh bumn kha akan tabah rasio beban dan salah guna
40 KOTA SELEVEL JAKARTA WKWKWK😂,kota level jakarta wkwkwk
woilah 40 kota baru setara Jakarta😭,woilah kota baru tara
Ko ada ucapan selamat hari natal wkwkwk...,ada ucap selamat hari natal wkwkwk
Amieen untuk nomer 2 saja,untuk nomer saja
"iklim investasi sekarang dikebiri oleh dunia perbankan, dikebisri oleh BUMN dan Konglomerasi, Investasi untuk para UKM dan Sektor menengah Cuma Narasi dan Talk only saja, krn sudah terkunci oleh regulasi Perbankan, apalagi dengan Metode nSlepet cak imin, itu boulsit, krn regulasi investasi dan Financial sektor mikro & menengah tidak bisa di tangani oleh Perbankan langsung namun Hendak nya oleh Departemen. dan Harus ada Badan Hukum milik negara atau sejenis nya aatau divisi Khusus atau departemen khusus yang menangani investasi ini, bukan mentri nya saja tapi departemen nya tidak ada .",iklim investasi sekarang kebiri oleh dunia perban dikebisri oleh bumn dan untuk para ukm dan tengah dan only saja krn sudah kunci oleh regulasi apalagi dengan nslepet cak imin itu boulsit krn regulasi investasi dan sektor mikro tengah tidak bisa tangan oleh langsung namun nya oleh dan ada milik negara atau jenis nya aatau divisi atau departemen khusus yang tangan investasi ini bukan tri nya saja tapi departemen nya tidak ada
Jebakan batman lagi dan lagi,batman lagi dan lagi
"kok bisa ya,orang yg gak tau apa2 tiba2 bisa jadi pintar.heraaann?",kok bisa yaorang gak tau apa tiba bisa jadi pintarheraaann
"Paslon nomor 2 gk bertele tele , Tau apa yang di butuhkan Rakyat dan Mudah di pahami ✌✌✌",nomor tele tele apa yang butuh dan paham
"Jujur kalau dengar paslon no 1
Saya yakin mereka cocok jdi tukang jualan
Pintar bicara sementara kalau dilihat dari raut wajahnya tdk tau kerja",kalau dengar paslon yakin mereka cocok jdi tukang jual bicara sementara kalau lihat dari raut wajah tdk tau kerja
"Sesuai nama nya GIBRAN ,"" GIGIH DAN BRANI""
Jagoan mah kalah kalahan dlu mas.. ntar ending ny.. positif menang selow aja mas... 
Minta doa ibu trus mas... Ibu ku aja doain mas gibran trus... Slow mas..",nama nya gibran gigih dan brani mah kalah kalah dlu mas ntar ending positif menang selow aja mas doa ibu trus mas aja doain mas gibran trus mas
Mas gibran seperti lomba cerdas cermat,gibran seperti lomba cerdas cermat
"cak imin bicara tentang pemerataan tanah, padahal dia sendiri mempunyai banyak tanah. dia sendiri termasuk 1℅ yg menguasai",cak imin bicara tentang perata tanah padahal dia sendiri punya banyak tanah dia sendiri masuk kuasa
Di luar diguan ❤❤,luar diguan
"Sayangnya pak gibran salah pasangan, tp walaupun begitu wakil pak ganjar lebih berpengalaman dalam mengartikan hidup",pak gibran salah pasang walaupun begitu wakil pak ganjar lebih alam dalam arti hidup
"Dulu ngga tertarik politik alias jualan pisang saja, skrg tertarik nyawapres 😂😂",ngga tarik politik alias jual pisang saja skrg tarik nyawapres
"Gibran o.on banget dijelasin regulasi aja, ga ngerti2, hrs trima kasih tu gibran, krnn dpt kuliah dr pak mahmud😂",oon banget dijelasin regulasi aja ngerti hrs trima kasih gibran krnn dpt kuliah pak mahmud
Gibran sangat menguasai panggung... Good.,sangat kuasa panggung
Intinya masyarakat butuh Reality!,masyarakat butuh
"Mnrut kk yg trtua dlm keluarga umr 58 thn kristen protstan, krna cln ada 3 hsl mitos n tahyul yg tdk akn meleset: siapun nmr urut tngah ( 2) akn menyikut jth nmr urt 1 n 3, ditmbh dgn hsl riel/ xta: 1.prasub sdh suara pilpres 2014/19 45%; ssax  dibgi kpd urt 1 n 3. 2. Hsl survey prasub uggul, 3. Masyarkt yg msh awam ttap tdk pduli n tdk tahu mnahu dgn: dbat, hsl survey, dll, tpi lbh suka mmlh seorg "" militer"" walaupun diisukn dgn plggrn ham brt, yg hx disgkkn, tpi tdk di adili, jdi hsl mitos n takyul ini jgn diremehkn krna ini adlh sbuah kjian non ilmu/ wwsan. Manado sulut 24 dsmbr 23, jgn lupa ctat ini n kpd ntzn n chanel arsipkn.",trtua dlm keluarga umr thn kristen protstan krna cln ada hsl mitos tahyul tdk akn meleset sia nmr urut tngah akn sikut jth nmr urt ditmbh dgn hsl riel xta prasub sdh suara pilpres ssax dibgi kpd urt survey prasub uggul msh awam ttap tdk pduli tdk tahu mnahu dgn dbat hsl survey dll tpi lbh suka mmlh seorg militer walaupun diisukn dgn plggrn ham brt disgkkn tpi tdk adil jdi hsl mitos takyul ini jgn diremehkn krna ini adlh sbuah kjian non ilmu wwsan sulut dsmbr jgn lupa ctat ini kpd ntzn chanel arsipkn
Gibran ngece..sombong bnget.dr byk klimat dr awal yg kluar...,ngecesombong bngetdr byk klimat awal kluar
Anak sby aturan diadu wkwkwk biar ktauan siapa yg berkualitaa wkwkwk,sby atur adu wkwkwk biar ktauan siapa berkualitaa wkwkwk
Pak aniss always,aniss always
"Jgn kan kurupsi di penjabat, di jakarta aj banyak yg tiap bulan kurupsi iuran yg gac jelas",kan kurupsi jabat jakarta banyak tiap bulan kurupsi iur gac jelas
Lihat lah sikap anis ke bp prabowo dingin kaya iri😂😂😂😂😂😂😂,lah sikap anis prabowo dingin kaya iri
"Jujur aja gibran ini gila banget😅😅😅😅😅,melebihi ekspektasi",aja gibran ini gila bangetmelebihi ekspektasi
Gibran gak ada obat🎉🎉,gak ada obat
Raja energi hijau dunia tapi ujung-ujungnya sawit sama aja boong 😂,energi hijau dunia tapi ujungujungnya sawit sama aja boong
Prabowo - Gibran untuk indonesia EMAS 🎉,untuk indonesia emas
"Gibran konsisten , sesuai thema , dan sesuai fakta .. mantap 02 ... Lanjutkan pak Prabowo - Gibran .. majuuuu indonesia ku",konsisten sesuai thema dan sesuai fakta mantap pak majuuuu indonesia
Gibran yg awalnya banyak yg meragukan krna sebelumnya gk pernah ikut debat di universitas² banyak yg berfikir pas depat di KPU bakal babak belur..tapi ternyata gibran bsa membuktikan di debat kali ini tampil on fire🎉❤,awal banyak ragu krna belum pernah ikut debat universitas banyak berfikir pas depat kpu bakal babak belurtapi nyata gibran bsa bukti debat kali ini tampil fire
"kkalau madura kerja jangan di ragukan salah2 resikonya Carok, Gw percaya sama Madaura walau Gw nukan Madura, Dibanding orang yang suka menjual Figur2 Tokoh Agama, tapi di internalnya tidak sehat dan Jauh dari sportif",kkalau madura kerja jangan ragu salah resiko percaya sama walau nukan orang yang suka jual figur tapi internal tidak sehat dan dari sportif
"21 janji utk Paslon 3😮😮. Jgn banyak janji pak, 😂😂😂",janji utk banyak janji pak
Tadi ragu gibran.. setelah ini 360% x 5 yakin PAROBOWO GIBRAN RI 1,ragu gibran telah ini yakin parobowo gibran
Emang aneh ikn kan salah satu cara pemerataan ekonomi kreatif jangan sampe jadi cawapres bgini mementingkan fisik tapi gak ada solusi ini yang nambah utang negara sibuk bangun 40 kota nambah beban utang negara selevel jakarta 😂😂😂😂😂😂😂😂,aneh ikn kan salah satu cara perata ekonomi kreatif jangan sampe jadi cawapres bgini penting fisik tapi gak ada solusi ini yang nambah utang negara sibuk bangun kota nambah beban utang negara level jakarta
Mantap gibran,gibran
"Dikerjaan gw pada ngejek mau nobar liat belimbing sayur debat kata mereka, gw diem aja karna gw EMG dukung penuh pak Prabowo dan mas Gibran, walaupun ada deh degkannya, alhasil yg kemaren koar"" pada diem pas nobar liat yg katanya mereka blimbing sayur bisa si cerdas ini😊🙏, mantaap pokoknya no 2",pada ngejek mau nobar liat belimbing sayur debat kata mereka diem aja karna emg dukung penuh pak dan mas walaupun ada deh deg alhasil kemaren koar pada diem pas nobar liat kata mereka blimbing sayur bisa cerdas ini mantaap pokok
"Klo mau lebih seru harusnya Mahfud MD keluar dari Menkopolhukam,cak Imin keluar dari wakil MPR ,biar gak segan-seganan debatnya gitu,klo bahasa latinnya gak enakan,you know lah,😂😂😂..
Gk ada poin yg bisa diambil..fix ini cara 3 periode melalui jalur darat..😂😂",mau lebih seru harus keluar dari cak keluar dari wakil mpr biar gak seganseganan debat gituklo bahasa latinnya gak enakanyou know lah ada poin bisa diambilfix ini cara periode lalu jalur darat
